,station_id,bikes_available,docks_available,time
35499996,90,21,10,8/25/2016 01:16:01
35499997,90,21,10,8/25/2016 01:16:55
35499998,90,21,10,8/25/2016 01:17:59
35499999,90,21,10,8/25/2016 01:18:59
35500000,90,21,10,8/25/2016 01:20:00
35500001,90,21,10,8/25/2016 01:22:00
35500002,90,21,10,8/25/2016 01:23:01
35500003,90,21,10,8/25/2016 01:24:39
35500004,90,21,10,8/25/2016 01:25:58
35500005,90,21,10,8/25/2016 01:27:01
35500006,90,21,10,8/25/2016 01:29:01
35500007,90,21,10,8/25/2016 01:29:56
35500008,90,21,10,8/25/2016 01:31:00
35500009,90,21,10,8/25/2016 01:33:00
35500010,90,21,10,8/25/2016 01:34:00
35500011,90,21,10,8/25/2016 01:34:59
35500012,90,21,10,8/25/2016 01:35:56
35500013,90,21,10,8/25/2016 01:36:59
35500014,90,21,10,8/25/2016 01:38:00
35500015,90,21,10,8/25/2016 01:38:58
35500016,90,21,10,8/25/2016 01:40:48
35500017,90,21,10,8/25/2016 01:41:39
35500018,90,21,10,8/25/2016 01:42:59
35500019,90,21,10,8/25/2016 01:43:50
35500020,90,21,10,8/25/2016 01:44:52
35500021,90,21,10,8/25/2016 01:45:50
35500022,90,21,10,8/25/2016 01:47:01
35500023,90,21,10,8/25/2016 01:48:57
35500024,90,21,10,8/25/2016 01:49:59
35500025,90,21,10,8/25/2016 01:51:00
35500026,90,21,10,8/25/2016 01:52:00
35500027,90,21,10,8/25/2016 01:52:59
35500028,90,21,10,8/25/2016 01:55:01
35500029,90,21,10,8/25/2016 01:56:59
35500030,90,21,10,8/25/2016 01:57:51
35500031,90,21,10,8/25/2016 01:59:54
35500032,90,21,10,8/25/2016 02:00:58
35500033,90,21,10,8/25/2016 02:01:59
35500034,90,21,10,8/25/2016 02:02:57
35500035,90,21,10,8/25/2016 02:05:01
35500036,90,21,10,8/25/2016 02:06:00
35500037,90,21,10,8/25/2016 02:06:56
35500038,90,21,10,8/25/2016 02:08:01
35500039,90,21,10,8/25/2016 02:08:53
35500040,90,21,10,8/25/2016 02:10:01
35500041,90,21,10,8/25/2016 02:10:56
35500042,90,21,10,8/25/2016 02:12:01
35500043,90,21,10,8/25/2016 02:14:01
35500044,90,21,10,8/25/2016 02:16:01
35500045,90,21,10,8/25/2016 02:17:59
35500046,90,21,10,8/25/2016 02:19:49
35500047,90,21,10,8/25/2016 02:20:59
35500048,90,21,10,8/25/2016 02:21:54
35500049,90,21,10,8/25/2016 02:22:54
35500050,90,21,10,8/25/2016 02:23:59
35500051,90,21,10,8/25/2016 02:26:01
35500052,90,21,10,8/25/2016 02:27:01
35500053,90,21,10,8/25/2016 02:29:00
35500054,90,21,10,8/25/2016 02:30:01
35500055,90,21,10,8/25/2016 02:31:01
35500056,90,21,10,8/25/2016 02:32:34
35500057,90,21,10,8/25/2016 02:33:34
35500058,90,21,10,8/25/2016 02:35:01
35500059,90,21,10,8/25/2016 02:35:59
35500060,90,21,10,8/25/2016 02:37:01
35500061,90,21,10,8/25/2016 02:38:00
35500062,90,21,10,8/25/2016 02:38:59
35500063,90,21,10,8/25/2016 02:40:00
35500064,90,21,10,8/25/2016 02:41:55
35500065,90,21,10,8/25/2016 02:43:01
35500066,90,21,10,8/25/2016 02:43:57
35500067,90,21,10,8/25/2016 02:44:59
35500068,90,21,10,8/25/2016 02:45:55
35500069,90,21,10,8/25/2016 02:46:54
35500070,90,21,10,8/25/2016 02:47:59
35500071,90,21,10,8/25/2016 02:48:52
35500072,90,21,10,8/25/2016 02:49:49
35500073,90,21,10,8/25/2016 02:50:54
35500074,90,21,10,8/25/2016 02:52:00
35500075,90,21,10,8/25/2016 02:52:58
35500076,90,21,10,8/25/2016 02:53:56
35500077,90,21,10,8/25/2016 02:55:52
35500078,90,21,10,8/25/2016 02:56:54
35500079,90,21,10,8/25/2016 02:57:55
35500080,90,21,10,8/25/2016 02:59:01
35500081,90,21,10,8/25/2016 03:00:00
35500082,90,21,10,8/25/2016 03:00:55
35500083,90,21,10,8/25/2016 03:02:00
35500084,90,21,10,8/25/2016 03:03:01
35500085,90,21,10,8/25/2016 03:04:48
35500086,90,21,10,8/25/2016 03:05:52
35500087,90,21,10,8/25/2016 03:07:00
35500088,90,21,10,8/25/2016 03:07:59
35500089,90,21,10,8/25/2016 03:09:01
35500090,90,21,10,8/25/2016 03:10:00
35500091,90,21,10,8/25/2016 03:11:00
35500092,90,21,10,8/25/2016 03:11:58
35500093,90,21,10,8/25/2016 03:13:01
35500094,90,21,10,8/25/2016 03:14:52
35500095,90,21,10,8/25/2016 03:15:54
35500096,90,21,10,8/25/2016 03:17:00
35500097,90,21,10,8/25/2016 03:17:55
35500098,90,21,10,8/25/2016 03:19:00
35500099,90,21,10,8/25/2016 03:20:00
35500100,90,21,10,8/25/2016 03:21:01
35500101,90,21,10,8/25/2016 03:22:40
35500102,90,21,10,8/25/2016 03:24:00
35500103,90,21,10,8/25/2016 03:25:00
35500104,90,21,10,8/25/2016 03:26:00
35500105,90,21,10,8/25/2016 03:27:01
35500106,90,21,10,8/25/2016 03:28:01
35500107,90,21,10,8/25/2016 03:28:58
35500108,90,21,10,8/25/2016 03:30:00
35500109,90,21,10,8/25/2016 03:31:01
35500110,90,21,10,8/25/2016 03:31:55
35500111,90,21,10,8/25/2016 03:33:00
35500112,90,21,10,8/25/2016 03:34:01
35500113,90,21,10,8/25/2016 03:35:48
35500114,90,21,10,8/25/2016 03:36:44
35500115,90,21,10,8/25/2016 03:37:59
35500116,90,21,10,8/25/2016 03:38:59
35500117,90,21,10,8/25/2016 03:40:00
35500118,90,21,10,8/25/2016 03:41:54
35500119,90,21,10,8/25/2016 03:43:01
35500120,90,21,10,8/25/2016 03:45:01
35500121,90,21,10,8/25/2016 03:45:56
35500122,90,21,10,8/25/2016 03:48:00
35500123,90,21,10,8/25/2016 03:50:00
35500124,90,21,10,8/25/2016 03:51:45
35500125,90,21,10,8/25/2016 03:53:01
35500126,90,21,10,8/25/2016 03:53:54
35500127,90,21,10,8/25/2016 03:55:01
35500128,90,21,10,8/25/2016 03:55:56
35500129,90,21,10,8/25/2016 03:56:54
35500130,90,21,10,8/25/2016 03:57:54
35500131,90,21,10,8/25/2016 03:58:49
35500132,90,21,10,8/25/2016 04:00:01
35500133,90,21,10,8/25/2016 04:00:56
35500134,90,21,10,8/25/2016 04:01:48
35500135,90,21,10,8/25/2016 04:02:51
35500136,90,21,10,8/25/2016 04:03:59
35500137,90,21,10,8/25/2016 04:05:02
35500138,90,21,10,8/25/2016 04:05:56
35500139,90,21,10,8/25/2016 04:07:50
35500140,90,21,10,8/25/2016 04:09:01
35500141,90,21,10,8/25/2016 04:10:44
35500142,90,21,10,8/25/2016 04:11:54
35500143,90,21,10,8/25/2016 04:12:49
35500144,90,21,10,8/25/2016 04:13:49
